grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,curso_id,curso_busca,cidade_busca,uf_busca,cidade_filtro,universidade_nome,campus_nome,campus_id,nome,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
Bacharelado,Noturno,1047.37,1,1,4,2,105611212586643,Engenharia Civil,Fortaleza,CE,MjMwMzAxNjA0NDAw,Faculdade Ateneu - FATE,UNIDADE ACADÊMICA LAGOA DE MESSEJANA - Messejana,1056112,Engenharia Civil,652.48,653.52,562.74,577.74
Bacharelado,Noturno,1047.24,4,1,11,4,106637910998153,Enfermagem,Rio Branco,AC,MTIwMjAwNDAwNDAx,Faculdade Meta - FAMETA,FACULDADE META - Conjunto Mariana,1066379,Enfermagem,661.54,638.52,591.6,587.56
Bacharelado,Matutino,1047.02,7,4,,,104530911773421,Nutrição,Fortaleza,CE,MjMwMzAxNjA0NDAw,Faculdade Uninassau Fortaleza,UNIDADE SEDE - Joaquim Távora,1045309,Nutrição,645.04,638.14,,
Bacharelado,Noturno,1047.02,6,3,,,104530911773423,Nutrição,Fortaleza,CE,MjMwMzAxNjA0NDAw,Faculdade Uninassau Fortaleza,UNIDADE SEDE - Joaquim Távora,1045309,Nutrição,630.8,625.56,,
Bacharelado,Noturno,1046.99,2,6,3,9,695082825623,Direito,Uniao da VItoria,PR,NDEwOTAzMzI4MjAz,Faculdades Integradas do Vale do Iguaçu,UNIDADE SEDE - Rio da Areia,695082,Direito,614.8,589.18,601.76,525.06
Bacharelado,Matutino,1046.71,5,1,,,106988212033261,Nutrição,Belem,PA,MTUwMzAwNzAxNDAy,Faculdade Uninassau Belém,UNIDADE SOPHOS - Nazaré,1069882,Nutrição,600.9,616.94,,
Bacharelado,Noturno,1046.71,11,3,,,106988212033263,Nutrição,Belem,PA,MTUwMzAwNzAxNDAy,Faculdade Uninassau Belém,UNIDADE SOPHOS - Nazaré,1069882,Nutrição,601.74,601.08,,
Bacharelado,Matutino,1046.35,0,1,,,372606851,Nutrição,Sao Jose dos Campos,SP,MzUxMzA1MDQ5OTA0,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,372,Nutrição,634.2,,,
Bacharelado,Matutino,1046.35,3,7,,,373597171,Enfermagem,Sorocaba,SP,MzUxMjA0NjUyMjA1,Universidade Paulista - UNIP,SOROCABA I - Jardim Éden,373,Enfermagem,619.42,603.24,,
Bacharelado,Noturno,1046.1,0,1,2,4,69596811862413,Engenharia de Produção,Guaratuba,PR,NDExMDAzODA5NjA5,Faculdade do Litoral Paranaense - FLP,CAMPUS - GUARATUBA - PIÇARRAS - Piçarras,695968,Engenharia de Produção,595.88,,450.0,450.0
Bacharelado,Noturno,1046.1,1,4,2,4,695968961753,Direito,Guaratuba,PR,NDExMDAzODA5NjA5,Faculdade do Litoral Paranaense - FLP,CAMPUS - GUARATUBA - PIÇARRAS - Piçarras,695968,Direito,620.12,586.24,591.74,544.46
Licenciatura,Noturno,1046.1,1,3,1,3,6590381054093,Pedagogia,Guaratuba,PR,NDExMDAzODA5NjA5,Instituto Superior de Educação de Guaratuba - ISEPE Guaratuba,UNIDADE SEDE - Piçarras,659038,Pedagogia,514.48,555.72,508.58,450.0
Bacharelado,Noturno,1046.0,2,2,,20,1045328798763,Administração,Uberlandia,MG,MzEwNTAxODcwMjA2,Faculdade Presidente Antônio Carlos de Uberlândia,ENDEREÇO INATIVO - Centro,1045328,Administração,590.46,575.52,450.0,
Bacharelado,Noturno,1046.0,1,4,,,10703381199183,Enfermagem,Curitiba,PR,NDExMDAzNzA2OTAy,Universidade Positivo - UP,UNIVERSIDADE POSITIVO - UNIDADE MERCÊS - Mercês,1070338,Enfermagem,631.4,603.82,,
Bacharelado,Matutino,1046.0,4,10,,,3527487931,Direito,Londrina,PR,NDEwMzAxMTEzNzAw,Centro Universitário Filadélfia - Unifil - UNIFIL,UNIDADE II - Canadá,3527,Direito,611.38,592.26,,
Bacharelado,Noturno,1046.0,6,14,,,3527487933,Direito,Londrina,PR,NDEwMzAxMTEzNzAw,Centro Universitário Filadélfia - Unifil - UNIFIL,UNIDADE II - Canadá,3527,Direito,621.1,595.24,,
Bacharelado,Noturno,1046.0,,,,10,6585801179433,Comunicação Social - Jornalismo,Sorocaba,SP,MzUxMjA0NjUyMjA1,Faculdade Esamc Sorocaba - ESAMC,CAMPUS - SOROCABA - CENTRO - Centro,658580,Comunicação Social - Jornalismo,,,564.88,
Tecnológico,Matutino,1045.95,,,,40,104625812994491,Comércio Exterior,Fortaleza,CE,MjMwMzAxNjA0NDAw,Faculdade Nordeste - FANOR,NORTH SHOPPING - UNIDADE ACADÊMICA - POLO EAD - São Gerardo,1046258,Comércio Exterior,,,450.0,
Tecnológico,Noturno,1045.95,,,,40,104625812994493,Comércio Exterior,Fortaleza,CE,MjMwMzAxNjA0NDAw,Faculdade Nordeste - FANOR,NORTH SHOPPING - UNIDADE ACADÊMICA - POLO EAD - São Gerardo,1046258,Comércio Exterior,,,450.0,
Bacharelado,Matutino,1045.79,,,,49,102260900241,Ciências Contábeis,Fortaleza,CE,MjMwMzAxNjA0NDAw,Faculdade Nordeste - FANOR,DUNAS - UNIDADE SEDE - NEAD - Dunas,102260,Ciências Contábeis,,,450.0,
Bacharelado,Noturno,1045.79,,,,45,102260900243,Ciências Contábeis,Fortaleza,CE,MjMwMzAxNjA0NDAw,Faculdade Nordeste - FANOR,DUNAS - UNIDADE SEDE - NEAD - Dunas,102260,Ciências Contábeis,,,505.42,
Bacharelado,Matutino,1045.79,,,,45,104625811933941,Ciências Contábeis,Fortaleza,CE,MjMwMzAxNjA0NDAw,Faculdade Nordeste - FANOR,NORTH SHOPPING - UNIDADE ACADÊMICA - POLO EAD - São Gerardo,1046258,Ciências Contábeis,,,450.0,
Bacharelado,Noturno,1045.79,,,,50,104625811933943,Ciências Contábeis,Fortaleza,CE,MjMwMzAxNjA0NDAw,Faculdade Nordeste - FANOR,NORTH SHOPPING - UNIDADE ACADÊMICA - POLO EAD - São Gerardo,1046258,Ciências Contábeis,,,450.0,
Bacharelado,Matutino,1045.39,3,2,,,659467606421,Agronomia,Patos de Minas,MG,MzEwNTAyMDQ4MDA0,Centro Universitário de Patos de Minas - Unipam - UNIPAM,UNIDADE SEDE - Caiçaras,659467,Agronomia,632.18,603.66,,
Bacharelado,Noturno,1045.15,,,1,1,105007212050523,Engenharia de Controle e Automação,Ipatinga,MG,MzEwODAzOTMxMzA3,Faculdade Única de Ipatinga - FUNIP,CAMPUS PRINCIPAL - Bethânia,1050072,Engenharia de Controle e Automação,,,629.74,643.86
Bacharelado,Matutino,1045.15,1,,1,,10500721017061,Engenharia Civil,Ipatinga,MG,MzEwODAzOTMxMzA3,Faculdade Única de Ipatinga - FUNIP,CAMPUS PRINCIPAL - Bethânia,1050072,Engenharia Civil,647.82,,583.64,
